Run,BioSample,geo_loc_name_country_continent,geo_loc_name,Lat_Lon,Library Name,Organism,ReleaseDate,REPLICATE
SRR15198151,SAMN20296446,Surface,1313.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 4,USA: Jornada LTER,32.51 N 106.74 W,JERLA4,Rep 4
SRR15198152,SAMN20296410,Surface,1296.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 5,USA: Tortugas Mountain,32.30 N 106.70 W,AMTCL5,Rep 5
SRR15198153,SAMN20296445,Surface,1313.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 3,USA: Jornada LTER,32.51 N 106.74 W,JERLA3,Rep 3
SRR15198154,SAMN20296444,Surface,1313.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 2,USA: Jornada LTER,32.51 N 106.74 W,JERLA2,Rep 2
SRR15198155,SAMN20296443,Surface,1313.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 1,USA: Jornada LTER,32.51 N 106.74 W,JERLA1,Rep 1
SRR15198156,SAMN20296442,Surface,1313.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 5,USA: Jornada LTER,32.51 N 106.74 W,JERDA5,Rep 5
SRR15198157,SAMN20296441,Surface,1313.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 4,USA: Jornada LTER,32.51 N 106.74 W,JERDA4,Rep 4
SRR15198158,SAMN20296440,Surface,1313.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 3,USA: Jornada LTER,32.51 N 106.74 W,JERDA3,Rep 3
SRR15198159,SAMN20296439,Surface,1313.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 2,USA: Jornada LTER,32.51 N 106.74 W,JERDA2,Rep 2
SRR15198160,SAMN20296438,Surface,1313.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 1,USA: Jornada LTER,32.51 N 106.74 W,JERDA1,Rep 1
SRR15198161,SAMN20296437,Surface,1313.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 02,USA: Jornada LTER,32.51 N 106.74 W,JERDA0,Rep 2 Duplicate
SRR15198162,SAMN20296436,Surface,1313.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 5,USA: Jornada LTER,32.51 N 106.74 W,JERCL5,Rep 5
SRR15198163,SAMN20296409,Surface,1296.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 4,USA: Tortugas Mountain,32.30 N 106.70 W,AMTCL4,Rep 4
SRR15198164,SAMN20296435,Surface,1313.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 4,USA: Jornada LTER,32.51 N 106.74 W,JERCL4,Rep 4
SRR15198165,SAMN20296434,Surface,1313.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 3,USA: Jornada LTER,32.51 N 106.74 W,JERCL3,Rep 3
SRR15198166,SAMN20296433,Surface,1313.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 2,USA: Jornada LTER,32.51 N 106.74 W,JERCL2,Rep 2
SRR15198167,SAMN20296432,Surface,1313.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 1,USA: Jornada LTER,32.51 N 106.74 W,JERCL1,Rep 1
SRR15198168,SAMN20296431,Surface,1296.0,Chihuahuan Desert,Peltula Lichen Biocrust 5,USA: Tortugas Mountain,32.30 N 106.70 W,AMTPT5,Rep 5
SRR15198169,SAMN20296430,Surface,1296.0,Chihuahuan Desert,Peltula Lichen Biocrust 4,USA: Tortugas Mountain,32.30 N 106.70 W,AMTPT4,Rep 4
SRR15198170,SAMN20296429,Surface,1296.0,Chihuahuan Desert,Peltula Lichen Biocrust 3,USA: Tortugas Mountain,32.30 N 106.70 W,AMTPT3,Rep 3
SRR15198171,SAMN20296428,Surface,1296.0,Chihuahuan Desert,Peltula Lichen Biocrust 2,USA: Tortugas Mountain,32.30 N 106.70 W,AMTPT2,Rep 2
SRR15198172,SAMN20296427,Surface,1296.0,Chihuahuan Desert,Peltula Lichen Biocrust 1,USA: Tortugas Mountain,32.30 N 106.70 W,AMTPT1,Rep 1
SRR15198173,SAMN20296426,Surface,1296.0,Chihuahuan Desert,Peltula Lichen Biocrust 05,USA: Tortugas Mountain,32.30 N 106.70 W,AMTPT0,Rep 5 Duplicate
